Metrics,Num_Neighbors,PCA_Components,N_Random_States,Score
wminkowski,1,0,1,0.6798418972332015
wminkowski,1,0,2,0.6758893280632411
wminkowski,1,0,3,0.6363636363636364
wminkowski,1,0,4,0.6521739130434783
wminkowski,1,0,5,0.6007905138339921
wminkowski,1,0,6,0.6600790513833992
wminkowski,1,0,7,0.7075098814229249
wminkowski,1,0,8,0.6047430830039525
wminkowski,1,0,9,0.6521739130434783
wminkowski,1,0,10,0.6205533596837944
wminkowski,1,0,11,0.6442687747035574
wminkowski,1,0,12,0.5968379446640316
wminkowski,1,0,13,0.6798418972332015
wminkowski,1,0,14,0.6442687747035574
wminkowski,1,0,15,0.5691699604743083
wminkowski,1,0,16,0.6324110671936759
wminkowski,1,0,17,0.6482213438735178
wminkowski,1,0,18,0.6482213438735178
wminkowski,1,0,19,0.6245059288537549
wminkowski,1,0,20,0.6521739130434783
wminkowski,1,2,1,0.30039525691699603
wminkowski,1,2,2,0.308300395256917
wminkowski,1,2,3,0.31620553359683795
wminkowski,1,2,4,0.30434782608695654
wminkowski,1,2,5,0.308300395256917
wminkowski,1,2,6,0.308300395256917
wminkowski,1,2,7,0.3201581027667984
wminkowski,1,2,8,0.33201581027667987
wminkowski,1,2,9,0.233201581027668
wminkowski,1,2,10,0.2885375494071146
wminkowski,1,2,11,0.31620553359683795
wminkowski,1,2,12,0.3438735177865613
wminkowski,1,2,13,0.2766798418972332
wminkowski,1,2,14,0.2885375494071146
wminkowski,1,2,15,0.3557312252964427
wminkowski,1,2,16,0.3201581027667984
wminkowski,1,2,17,0.30039525691699603
wminkowski,1,2,18,0.3201581027667984
wminkowski,1,2,19,0.26877470355731226
wminkowski,1,2,20,0.28063241106719367
wminkowski,1,3,1,0.4150197628458498
wminkowski,1,3,2,0.3438735177865613
wminkowski,1,3,3,0.4150197628458498
wminkowski,1,3,4,0.391304347826087
wminkowski,1,3,5,0.4150197628458498
wminkowski,1,3,6,0.3675889328063241
wminkowski,1,3,7,0.3952569169960474
wminkowski,1,3,8,0.391304347826087
wminkowski,1,3,9,0.36363636363636365
wminkowski,1,3,10,0.2450592885375494
wminkowski,1,3,11,0.383399209486166
wminkowski,1,3,12,0.41106719367588934
wminkowski,1,3,13,0.3675889328063241
wminkowski,1,3,14,0.3438735177865613
wminkowski,1,3,15,0.3794466403162055
wminkowski,1,3,16,0.35968379446640314
wminkowski,1,3,17,0.391304347826087
wminkowski,1,3,18,0.31620553359683795
wminkowski,1,3,19,0.34782608695652173
wminkowski,1,3,20,0.4268774703557312
