Metrics,Num_Neighbors,PCA_Components,N_Random_States,Score
minkowski,1,0,1,0.74
minkowski,1,0,2,0.74
minkowski,1,0,3,0.71
minkowski,1,0,5,0.75
minkowski,1,0,10,0.79
minkowski,1,0,15,0.72
minkowski,1,0,20,0.66
minkowski,1,3,1,0.48
minkowski,1,3,2,0.49
minkowski,1,3,3,0.56
minkowski,1,3,5,0.45
minkowski,1,3,10,0.51
minkowski,1,3,15,0.53
minkowski,1,3,20,0.5
minkowski,1,4,1,0.5
minkowski,1,4,2,0.42
minkowski,1,4,3,0.48
minkowski,1,4,5,0.49
minkowski,1,4,10,0.47
minkowski,1,4,15,0.41
minkowski,1,4,20,0.48
minkowski,1,5,1,0.59
minkowski,1,5,2,0.43
minkowski,1,5,3,0.6
minkowski,1,5,5,0.6
minkowski,1,5,10,0.55
minkowski,1,5,15,0.54
minkowski,1,5,20,0.48
minkowski,1,6,1,0.64
minkowski,1,6,2,0.5
minkowski,1,6,3,0.61
minkowski,1,6,5,0.54
minkowski,1,6,10,0.55
minkowski,1,6,15,0.52
minkowski,1,6,20,0.52
minkowski,1,7,1,0.64
minkowski,1,7,2,0.61
minkowski,1,7,3,0.61
minkowski,1,7,5,0.59
minkowski,1,7,10,0.55
minkowski,1,7,15,0.58
minkowski,1,7,20,0.57
minkowski,1,8,1,0.71
minkowski,1,8,2,0.66
minkowski,1,8,3,0.66
minkowski,1,8,5,0.71
minkowski,1,8,10,0.61
minkowski,1,8,15,0.65
minkowski,1,8,20,0.59
minkowski,1,9,1,0.68
minkowski,1,9,2,0.68
minkowski,1,9,3,0.69
minkowski,1,9,5,0.7
minkowski,1,9,10,0.57
minkowski,1,9,15,0.64
minkowski,1,9,20,0.64
minkowski,1,10,1,0.69
minkowski,1,10,2,0.66
minkowski,1,10,3,0.65
minkowski,1,10,5,0.68
minkowski,1,10,10,0.58
minkowski,1,10,15,0.67
minkowski,1,10,20,0.63
minkowski,1,13,1,0.68
minkowski,1,13,2,0.74
minkowski,1,13,3,0.67
minkowski,1,13,5,0.7
minkowski,1,13,10,0.65
minkowski,1,13,15,0.66
minkowski,1,13,20,0.66
minkowski,1,15,1,0.71
minkowski,1,15,2,0.73
minkowski,1,15,3,0.73
minkowski,1,15,5,0.74
minkowski,1,15,10,0.63
minkowski,1,15,15,0.71
minkowski,1,15,20,0.66
minkowski,1,20,1,0.7
minkowski,1,20,2,0.72
minkowski,1,20,3,0.7
minkowski,1,20,5,0.72
minkowski,1,20,10,0.7
minkowski,1,20,15,0.69
minkowski,1,20,20,0.69
minkowski,1,25,1,0.73
minkowski,1,25,2,0.72
minkowski,1,25,3,0.71
minkowski,1,25,5,0.72
minkowski,1,25,10,0.72
minkowski,1,25,15,0.67
minkowski,1,25,20,0.65
minkowski,1,30,1,0.76
minkowski,1,30,2,0.72
minkowski,1,30,3,0.71
minkowski,1,30,5,0.74
minkowski,1,30,10,0.71
minkowski,1,30,15,0.74
minkowski,1,30,20,0.64
minkowski,1,35,1,0.76
minkowski,1,35,2,0.72
minkowski,1,35,3,0.72
minkowski,1,35,5,0.73
minkowski,1,35,10,0.7
minkowski,1,35,15,0.71
minkowski,1,35,20,0.65
minkowski,1,40,1,0.72
minkowski,1,40,2,0.72
minkowski,1,40,3,0.72
minkowski,1,40,5,0.74
minkowski,1,40,10,0.73
minkowski,1,40,15,0.68
minkowski,1,40,20,0.65
minkowski,1,45,1,0.76
minkowski,1,45,2,0.74
minkowski,1,45,3,0.71
minkowski,1,45,5,0.74
minkowski,1,45,10,0.74
minkowski,1,45,15,0.69
minkowski,1,45,20,0.66
minkowski,1,50,1,0.76
minkowski,1,50,2,0.74
minkowski,1,50,3,0.7
minkowski,1,50,5,0.75
minkowski,1,50,10,0.76
minkowski,1,50,15,0.68
minkowski,1,50,20,0.67
minkowski,1,55,1,0.76
minkowski,1,55,2,0.73
minkowski,1,55,3,0.69
minkowski,1,55,5,0.74
minkowski,1,55,10,0.75
minkowski,1,55,15,0.71
minkowski,1,55,20,0.66
minkowski,1,60,1,0.77
minkowski,1,60,2,0.74
minkowski,1,60,3,0.69
minkowski,1,60,5,0.75
minkowski,1,60,10,0.77
minkowski,1,60,15,0.71
minkowski,1,60,20,0.66
minkowski,1,65,1,0.77
minkowski,1,65,2,0.74
minkowski,1,65,3,0.69
minkowski,1,65,5,0.76
minkowski,1,65,10,0.8
minkowski,1,65,15,0.73
minkowski,1,65,20,0.65
minkowski,1,70,1,0.78
minkowski,1,70,2,0.73
minkowski,1,70,3,0.7
minkowski,1,70,5,0.76
minkowski,1,70,10,0.78
minkowski,1,70,15,0.71
minkowski,1,70,20,0.66
minkowski,1,75,1,0.78
minkowski,1,75,2,0.74
minkowski,1,75,3,0.7
minkowski,1,75,5,0.77
minkowski,1,75,10,0.8
minkowski,1,75,15,0.73
minkowski,1,75,20,0.66
minkowski,2,0,1,0.73
minkowski,2,0,2,0.7
minkowski,2,0,3,0.7
minkowski,2,0,5,0.68
minkowski,2,0,10,0.72
minkowski,2,0,15,0.68
minkowski,2,0,20,0.71
minkowski,2,3,1,0.47
minkowski,2,3,2,0.47
minkowski,2,3,3,0.46
minkowski,2,3,5,0.46
minkowski,2,3,10,0.53
minkowski,2,3,15,0.46
minkowski,2,3,20,0.46
minkowski,2,4,1,0.53
minkowski,2,4,2,0.4
minkowski,2,4,3,0.48
minkowski,2,4,5,0.46
minkowski,2,4,10,0.5
minkowski,2,4,15,0.42
minkowski,2,4,20,0.52
minkowski,2,5,1,0.54
minkowski,2,5,2,0.49
minkowski,2,5,3,0.53
minkowski,2,5,5,0.51
minkowski,2,5,10,0.51
minkowski,2,5,15,0.51
minkowski,2,5,20,0.55
minkowski,2,6,1,0.6
minkowski,2,6,2,0.53
minkowski,2,6,3,0.53
minkowski,2,6,5,0.52
minkowski,2,6,10,0.51
minkowski,2,6,15,0.51
minkowski,2,6,20,0.5
minkowski,2,7,1,0.63
minkowski,2,7,2,0.57
minkowski,2,7,3,0.57
minkowski,2,7,5,0.59
minkowski,2,7,10,0.56
minkowski,2,7,15,0.58
minkowski,2,7,20,0.55
minkowski,2,8,1,0.67
minkowski,2,8,2,0.66
minkowski,2,8,3,0.64
minkowski,2,8,5,0.61
minkowski,2,8,10,0.59
minkowski,2,8,15,0.58
minkowski,2,8,20,0.58
minkowski,2,9,1,0.66
minkowski,2,9,2,0.7
minkowski,2,9,3,0.63
minkowski,2,9,5,0.62
minkowski,2,9,10,0.59
minkowski,2,9,15,0.6
minkowski,2,9,20,0.62
minkowski,2,10,1,0.66
minkowski,2,10,2,0.67
minkowski,2,10,3,0.63
minkowski,2,10,5,0.66
minkowski,2,10,10,0.57
minkowski,2,10,15,0.62
minkowski,2,10,20,0.64
minkowski,2,13,1,0.69
minkowski,2,13,2,0.69
minkowski,2,13,3,0.62
minkowski,2,13,5,0.65
minkowski,2,13,10,0.6
minkowski,2,13,15,0.66
minkowski,2,13,20,0.64
minkowski,2,15,1,0.67
minkowski,2,15,2,0.68
minkowski,2,15,3,0.64
minkowski,2,15,5,0.65
minkowski,2,15,10,0.62
minkowski,2,15,15,0.59
minkowski,2,15,20,0.64
minkowski,2,20,1,0.67
minkowski,2,20,2,0.66
minkowski,2,20,3,0.66
minkowski,2,20,5,0.66
minkowski,2,20,10,0.65
minkowski,2,20,15,0.64
